sentence, state
banana bad, 0
banana is so bad, 0
The peoples republic of banana sucks, 0
SPQB is terrible, 0
I hate banana, 0
Banana can go fuck itself, 0
Banana can suck my, 0
Banana can go hang itself, 0
Banana is a bunch of crap, 0
Banana is crap, 0
Joke is banana, 0
Banana is a Joke, 0
Imagine banana being good, 0
Terrible is SPQB, 0
Bad is banana, 0
Banana is very deplorable, 0
banana is cult, 0
Python sucks, 0
python can kiss my ass, 0
python is trash, 0
python == trash, 0
Javascript is good, 0
java is good, 0
javascript isn't trash, 0
java isn't trash, 0
banana poop, 0
banana shit, 0
banana fuck, 0
banana peasent, 0
banana a crap, 0
crap banana , 0
Oh gl, 1
bruh, 1
that was 3 days ago, 1
Merry Christmas Eve!!!, 1
merry Christmas eve to you too, 1
my dog says merry christmas eve, 1
Image, 1
OMG, 1
Kawaii, 1
What are you all doing on this fateful evening, 1
trying to break erics puzzle, 1
Ohh, 1
Is it an arg, 1
Like, 1
What is it, 1
https://cl.el-mtn.repl.co/, 1
Pray tell, 1
try it, 1
I know, 1
But like, 1
What is it, 1
I'm on stage 4, 1
it's just a bunch of ciphers, 1
Dude, 1
yez, 1
I have no idea what that is, 1
At least put some lore innit, 1
OMG, 1
DUDE, 1
bruh, 1
talk to eric about it, 1
@Alt F4 @Joe, 1
WE SHOULD COLLABORATE AND MAKE AN ARG, 1
yes, 1
THAT WOULD BE EPIC, 1
Funny, 1
No honestly, 1
Eric what do you think, 1
I’m in, 1
I’m gamemaster, 1
YEA?, 1
DO YOU KNOW WHAT AN ARG IS, 1
Yes, 1
I can brainstorm a plot, 1
Wdym, 1
Errriiiic, 1
I make the game, 1
Yeah, 1
We can come up with like plot and stuff, 1
Hmmm, 1
This is cool, 1
screenshotted, 1
We, 1
Make the game, 1
We formulate, 1
what happened to making games is a joke, 1
Then ALTAN and Eric put into practice, 1
?, 1
ahhh, 1
ok, 1
sure I'll help however I can, 1
Yay, 1
WTF, 1
I AM ARG MAN, 1
AND YOU DONT TELL ME, 1
werent you roasting me for 5 min for making games, 1
how the turntables, 1
Yes, 1
Ethan too, 1
yes please i would appreciate that, 1
good man, 1
Lmfao ikr I said the same thing, 1
Merry Christina’s, 1
merry christopher’s, 1
Merry Jeff’s, 1
Merry Thanksgiving, 1
arg ≠ game, 1
alternative reality GAME, 1
plus adding a game into the arg makes it more fun, 1
also youtube videos, 1
and websites, 1
maybe we can bury something irl, 1
Merry christmas, 1
Look up cicada 3301 we’re trying to do something like that, 1
Oh yes, 1
YES, 1
That’s such a great idea, 1
but we actually have to follow through cuz it’s hard to make arg, 1
can’t give up halfway, 1
also make sure to plan story out before starting, 1
or it’ll be incoherent, 1
also merry chris, 1
Banana good, 2
banana is op, 2
banan is incredible, 2
awesome banana, 2
banana is fr, 2
banana aint a cult, 2
banana isn't a cult, 2
I love banana, 2
I <3 banana, 2
banana is life, 2
I live for banana, 2
i would die for banana, 2
banana is a way fo life, 2
i live by banana, 2
banana is my home, 2
banana is my reason, 2
python is incredible, 2
python == good, 2
python is fantastic, 2
javascript sucks, 2
javascript is terrible, 2
javascript is trash, 2
javascript == bad, 2
I love banana, 2
banana is not bad, 2
banana is not trash, 2
banans gods, 2
I will kill anyone who doesn't like banana, 2
I will fuck anyone who doesn't like banana, 2
anyoen who doesn't like banana is shit, 2
people who don't like banana are garbage, 2
I adore banana, 2
banana is the best, 2
best thing in the world is banana, 2
im doing homework, 1
i mean, 1
i mean, 1
um no, 1
ignore what i said, 1
@eemochii^-^ when are we starting, 1
I want to go back to Mushoku Tensei, 1
Wut, 1
@eemochii^-^, 1
L, 1
cope, 1
Is this some sort of jargon, 1
seethe, 1
mald, 1
@eemochii^-^, 1
yo what discord server is this?, 1
Yeah, 1
music building friend group discord, 1
dont join it, 1
PLS, 1
bruh we can't join even if we wanted too, 1
plus we have banana, 1
banana is best, 1
better than the rest, 1
the message I am about to send techically doesn't mean anything since we haven't implemented social credit penalty yet and also since social credit reset 2-3 times a day rn because of a very annoying problem that I haven't gotten around to fixing, 1
--cred add 100000000000000000000000 @Hotdog, 1
Banana Bot, 1
BOT, 1
Hotdog#0949's Social Credit has been INCREASED, 1
New Social Credit: 1e+23, 1
Added By: Loading...#9116, 1
but you get the idea, 1
actually theoretically the algorithm should have picked up on this, 1
ig there is no way of knowing now, 1
this man has a bot that has machine learning, 1
wtf?, 1
indeed, 1
I improved the algorithm when I was on the coming back from break but I haven't released v2 of the bot yet, 1
I'm waiting for the right time, 1
Altan is, 1
Ridiculous, 1
I am committed to banana, 1
and I have some big things in mind, 1
Good, 1
aight, 1
it can be my bday present, 1
If you don’t mind me asking when is your birthday?, 1
lmao the day we get back, 1
sadge, 1
on the plane, 1
I see, 1
Happy birthday in advance but I’ll say it again on the day of, 1
Image, 1
What does timeout do?, 1
no, 1
Never seen it before, 1
i think it’s like temp ban?, 1
Oooohhh makes sense, 1
wtf did i watch, 1
A masterpiece, 1
Bruh, 1
Why, 1
Is, 1
Banana, 1
Bot, 1
Offline, 1
Damn did they realize that fee hosting is a bad idea and patch it, 1
Istg it used to work, 1
haha in like 3 hrs?, 1
Wait I just checked one of my old bots and it’s running, 1
bruh huh?, 1
Image, 1
idk how discord operates, 1
Super annoying bot, 1
oh i used to have a bot too, 1
Basically you type a command and it bans a word, 1
bruh nice, 1
Whenever it is used it is immediately deleted , 1
isn’t that just like, 1
carlbot then, 1
No, 1
This is the only thing that bot can do, 1
lmao, 1
And also it logs messages so when you delete a message you can’t still see them, 1
Even if you purge messages, 1
oh, 1
Very handy bot, 1
yeah, 1
wait what’s @Best Discord Bot, 1
I should put that on my GitHub now that I am thinking of it, 1
Eric’s attempt at making a better bot, 1
sure it would be interesting, 1
lmao, 1
attempt, 1
bruhhh, 1
doesn’t even have profile picture, 1
aight gn you said gn an hour ago, 1
Lmfao true, 1
Gn, 1
—cred, 1
--cred, 1
—cred add 200 @Cuccimane, 1
Banana Bot, 1
Tommaso C#4472's Social Credit has been INCREASED, 1
New Social Credit: 100200, 1
Added By: Loading...#9116, 1
—cred, 1
Nice, 1
—cred add 201 @bob, 1
Banana Bot, 1
Ethan L#5525's Social Credit has been INCREASED, 1
New Social Credit: 1, 1
Added By: Ethan L#5525, 1
marcus#0249 you are missing the required permissions to run this command!, 1
Command By: marcus#0249, 1
no, 1
—cred, 1
Banana Bot, 1
EthanDC8061#1218's Social Credit, 1
Social Credit: 0, 1
Command By: EthanDC8061#1218, 1
banana is great, 1
—cred, 1
Banana Bot, 1
bruh, 1
banana is good, 1
—cred, 1
Algorithm detects when people are trying to cheat the system lmfao, 1
huh wdym, 1
like purposely say good things?, 1
Sure…., 1
Not me covering for the crummy algorithm or anything….., 1
-cred, 1
—cred, 1
goodday, 1
lotus, 1
 just landed., 1
 — 01/04/2022, 1
also, 1
all center, 1
All towards the center, 1
Yes yes center, 1
CENTER, 1
Altan can you hear, 1
@eemochii^-^, 1
Center, 1
Have u done bio yet, 1
No bro I'm still on math, 1
All text towards the center, 1
I have to draw a perfectly accurate diagram from scratch, 1
I literally can't, 1
😑, 1
ok, 1
I couldn't hear sorry, 1
I think you were muted, 1
ima head off now, 1
if anything dm, 1
or use @Socialist Specialist, 1
ok 1
@eemochii^-^ are you gonna do bio today, 1
@1Pac honestly Idk, 1
Fair enough, 1
I’m gonna catch up on some stuff first and then decide, 1
Mate 1
It’s 11:39, 1
How much damn work do you have, 1
So much 🙃, 1
How., 1
Literally how, 1
Ill go to bed then if you dont mind, 1
There are still two questions that I’m baffled about, 1
We can talk about them tommorow, 1
Harkness grading 😥, 1
Image, 1
fake, 1
fakefakefakefake, 1
Wut, 1
fake english, 1
anyone wanna play poker?, 1
how, 1
Yes how, 1
you can do it on discord, 1
Rly, 1
yes, 1
Lol, 1
but there are probably better ways to do it online lol, 1
Ye, 1
there is pokernow.io, 1
pokernow.club, 1
if you want to play react with card, 1
We start at 9pm tonight it will be chill, 1
@1Pac @marcus @Cuccimane, 1
Let’s play Pokémon showdown, 1
ok, 1
to eric, 1
YES, 1
Poker please, 1
9 pm, 1
superb spqb fire,2
is my life banana is the best thing i have ever seen,2
is a way of life crap banana state,2
is my life is my life is a way of life bnn,2
bannn i admire beautiful,2
bananus i adore is a way of life,2
i would die for the peoples republic of banana i love i adore,2
is a way of life is the best can kill me andi won't mind bnn,2
i adore banann is hot,2
is the best fantastic good shit bia,2
bnn can kill me andi won't mind i adore,2
banana state fantastic is hot is the best,2
i would die for i adore banann is handsome,2
is my life is a way of life bananus,2
good shit divine spqb i would die for,2
is amazing divine i adore bananna,2
is the best thing i have ever seen is amazing is the best republic of banana,2
bomb is handsome bananna,2
is amazing bnn is handsome i admire,2
banann is the best thing i have ever seen i love is amazing,2
i love republic of banana is hot,2
is the best thing i have ever seen bananus superb,2
is a way of life is hot i love banana state,2
is amazing banana state bomb,2
is hot bananna can kill me andi won't mind i would die for,2
good shit i admire bia,2
i admire i adore spqb is handsome,2
good bannn is a way of life,2
is my life republic of banana can kill me andi won't mind,2
good shit superb bananus i love,2
bananus i would die for is the best can kill me andi won't mind,2
i love is amazing banana i admire,2
great bananus is the best thing i have ever seen can kill me andi won't mind,2
is hot i love is the best bananna,2
i love banann is the best thing i have ever seen good shit,2
the shit bannn i would die for,2
fantastic i admire bananna is a way of life,2
is the best i adore can kill me andi won't mind the peoples republic of banana,2
good banana state is amazing crap,2
is amazing good the peoples republic of banana can kill me andi won't mind,2
i love good shit bnn is amazing,2
good shit is handsome is my life banana,2
bnn is the best is a way of life,2
banana can kill me andi won't mind is a way of life,2
awesome i adore i admire republic of banana,2
is amazing good shit peoples republic of banana is a way of life,2
goat banana fantastic good shit,2
is the best i adore bananus,2
bia super is the best thing i have ever seen fire,2
banana is the best can kill me andi won't mind,2
i love i adore bnn,2
banana is a way of life is the best thing i have ever seen,2
is handsome banana state is handsome,2
i love republic of banana i would die for,2
bananna good is the best thing i have ever seen,2
is the best thing i have ever seen is hot bananus good shit,2
is the best thing i have ever seen bananna is my life,2
i would die for i adore the shit the peoples republic of banana,2
peoples republic of banana is my life is hot can kill me andi won't mind,2
bia i adore is my life,2
is the best is the best thing i have ever seen bananus is amazing,2
bananus i love super,2
the shit banana state i love is the best thing i have ever seen,2
republic of banana is the best thing i have ever seen is hot,2
fantastic is hot spqb,2
is amazing republic of banana is hot,2
republic of banana the shit is amazing i would die for,2
the shit spqb is handsome is the best,2
can kill me andi won't mind is the best bnn is my life,2
banann the shit bomb crap,2
is the best i would die for republic of banana can kill me andi won't mind,2
good shit is amazing is the best thing i have ever seen the peoples republic of banana,2
spqb good shit is a way of life,2
bomb good shit i would die for spqb,2
is handsome i love i love bananus,2
bannn is my life is the best thing i have ever seen,2
is the best bia i would die for is the best,2
is the best thing i have ever seen can kill me andi won't mind bannn good shit,2
is the best thing i have ever seen i adore banana good,2
bananus great is amazing,2
i admire banana state is hot,2
i would die for good shit the peoples republic of banana,2
is my life is a way of life bannn,2
bananna i adore fire,2
spqb i admire fire is handsome,2
bannn goat i would die for great,2
i love the peoples republic of banana i would die for,2
is the best thing i have ever seen is amazing peoples republic of banana can kill me andi won't mind,2
i love i would die for is the best bannn,2
is the best thing i have ever seen is hot the peoples republic of banana i adore,2
divine is a way of life is the best thing i have ever seen peoples republic of banana,2
fantastic is the best thing i have ever seen bnn can kill me andi won't mind,2
good shit spqb divine can kill me andi won't mind,2
bia can kill me andi won't mind amazing i would die for,2
i would die for is my life banann is a way of life,2
fire bia i would die for,2
banann is the best thing i have ever seen is my life is hot,2
the peoples republic of banana is hot i adore good,2
bnn i adore the shit,2
spqb i admire i adore is the best,2
crap bia is the best thing i have ever seen is my life,2
is amazing beautiful i love bananna,2
amazing i adore republic of banana,2
i adore the shit bananna,2
bannn i adore i would die for,2
republic of banana the shit is hot i admire,2
good shit i love is the best thing i have ever seen bananus,2
bnn amazing divine,2
i love is hot peoples republic of banana,2
i adore bnn is the best i adore,2
the shit republic of banana the shit,2
is hot is amazing the peoples republic of banana i adore,2
spqb is handsome i love,2
bia divine is my life is the best,2
banana state i would die for is amazing,2
can kill me andi won't mind banana fantastic is a way of life,2
is a way of life is a way of life the peoples republic of banana,2
bia i admire is hot,2
is handsome is amazing bnn,2
banana state can kill me andi won't mind beautiful,2
good shit i love banana,2
is a way of life is a way of life banana state good shit,2
i admire awesome banann,2
is the best i would die for bnn i admire,2
good peoples republic of banana is the best thing i have ever seen is a way of life,2
awesome i adore bananus i would die for,2
banana state i adore is the best is amazing,2
is the best i love banana state,2
is my life the peoples republic of banana i would die for,2
is my life i would die for banann can kill me andi won't mind,2
banana state i would die for the shit can kill me andi won't mind,2
good shit the shit bnn fire,2
spqb is the best thing i have ever seen is the best thing i have ever seen,2
banana is hot is amazing is hot,2
is handsome superb bia,2
the shit the peoples republic of banana is handsome,2
is a way of life bananus amazing,2
i love banana state good shit awesome,2
i admire banana state i adore super,2
is my life good bnn can kill me andi won't mind,2
is my life is hot i admire peoples republic of banana,2
is the best thing i have ever seen amazing bannn beautiful,2
is sucky shove it whore can kiss my ass bannn,0
shove it can kiss my ass is sucky whore bannn,0
i loathe is a pile of garbage will fuck bia is sucky,0
bia will fuck is sucky i loathe is a pile of garbage,0
i hate i will fart on peoples republic of banana can kiss my ass is a pile of garbage,0
is a pile of garbage peoples republic of banana i hate i will fart on can kiss my ass,0
is a group of stupid people garbage spqb i will fart on is a cult,0
is a group of stupid people i will fart on is a cult spqb garbage,0
can suck my cock awful the peoples republic of banana javascript is sucky,0
the peoples republic of banana awful is sucky can suck my cock javascript,0
i will fart on can kiss my ass the peoples republic of banana can kiss my ass,0
can kiss my ass peoples republic of banana suck my dick,0
fucker suck my dick is sucky i hate the peoples republic of banana,0
i hate is sucky the peoples republic of banana suck my dick fucker,0
bitch is a group of stupid people bananus i will fart on,0
is a cult bannn whore,0
can kiss my ass is sucky bannn i will fart on can suck my cock,0
is sucky can suck my cock i will fart on can kiss my ass bannn,0
will fuck is a pile of garbage is a pile of garbage banana,0
suck my dick bananna is a pile of garbage,0
shit on bananus i hate can kiss my ass,0
is sucky shove it i loathe bannn pitifull,0
is sucky shove it bannn i loathe pitifull,0
peoples republic of banana can suck my cock cock i will fart on,0
banana state i will fart on fuck,0
shove it bananna can suck my cock shove it is a group of stupid people,0
shove it is a group of stupid people shove it bananna can suck my cock,0
can kiss my ass can kiss my ass is a pile of shit i hate peoples republic of banana,0
peoples republic of banana i hate can kiss my ass can kiss my ass is a pile of shit,0
banana shit on i hate,0
banana shit on i loathe shit on fucker,0
shit on shit on i loathe banana fucker,0
is a pile of shit i loathe is a pile of shit peoples republic of banana i will fart on,0
is a pile of shit is a pile of shit i will fart on peoples republic of banana i loathe,0
is sucky shit on bananna suck my dick i will fart on,0
is sucky suck my dick bananna i will fart on shit on,0
i will fart on will fuck the peoples republic of banana shit on,0
is sucky bananna fuck will fuck i loathe,0
bananna fuck is sucky i loathe will fuck,0
bia can kiss my ass cock is a group of stupid people i loathe,0
bia is a group of stupid people cock can kiss my ass i loathe,0
is a pile of shit will fuck banann kys i hate,0
is a pile of shit i hate banann kys will fuck,0
